Participant ID,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Output Leval,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,1,-6.19E-08,-1.99E-07,2.11E-06,-1.17E-06,1.86E-05,-6.65E-07,6.41E-07,-8.25E-07,-2.39E-06,-1.12E-06,2.77E-06,-1.25E-06,3.49E-06,3.74E-07,8.64E-08,-7.50E-07,-1.42E-07,-3.65E-07,-1.92E-06,1.13E-07,1.17E-06,-3.32E-06,-2.47E-06,-2.58E-06,1.89E-06,-5.87E-07
,2,-3.30E-06,-3.02E-07,-3.86E-07,-2.25E-06,-2.33E-06,3.59E-07,-2.75E-07,-3.53E-07,6.44E-08,-1.31E-06,9.27E-07,-1.73E-06,-8.92E-07,1.23E-06,-4.52E-07,-5.31E-06,4.25E-07,-2.92E-06,-5.55E-07,-1.49E-06,-3.84E-06,-8.29E-08,-2.27E-06,-1.79E-06,-1.60E-06,-9.93E-07
,3,-4.42E-07,-6.91E-07,2.06E-06,-9.53E-07,-4.34E-07,-7.46E-08,-1.10E-07,-4.96E-07,1.63E-06,6.04E-06,-1.00E-07,1.91E-06,-2.00E-06,-1.53E-07,-3.57E-07,9.53E-07,9.23E-07,-1.57E-06,3.71E-06,-5.27E-07,3.38E-06,3.09E-06,9.30E-07,7.69E-07,-6.44E-08,1.91E-06
Channel 05,1,-9.15E-07,-1.17E-06,-5.76E-07,2.12E-06,-2.30E-07,-1.03E-06,-2.36E-07,-1.55E-06,3.61E-06,-9.43E-07,1.29E-06,-2.14E-07,-8.53E-07,4.69E-07,1.01E-06,3.34E-07,-1.85E-06,-1.25E-07,-1.19E-06,1.04E-07,-9.13E-07,4.81E-07,-3.87E-07,-9.55E-07,-3.74E-07,-9.00E-07
,2,-1.94E-07,6.48E-07,8.97E-08,1.12E-06,-6.21E-07,1.44E-06,-2.85E-07,4.24E-08,-1.50E-06,4.20E-07,1.95E-06,-8.46E-07,-2.28E-06,2.04E-06,4.84E-07,-2.79E-06,2.22E-06,-1.60E-07,-1.23E-06,1.58E-06,1.78E-07,-1.41E-06,4.50E-07,-1.14E-06,1.54E-07,2.24E-06
,3,-4.45E-07,-6.75E-08,3.36E-08,2.51E-07,-8.12E-07,4.34E-07,1.38E-06,4.85E-07,2.54E-06,-3.15E-06,-1.19E-06,5.52E-07,2.62E-07,-4.52E-07,-2.42E-06,1.25E-06,4.27E-07,-4.62E-07,4.53E-08,-6.44E-07,1.18E-06,3.68E-07,-3.50E-07,6.56E-07,1.10E-06,3.07E-06
Channel 06,1,4.97E-08,-6.69E-07,4.88E-07,5.02E-07,-9.03E-07,-1.39E-06,-8.32E-07,-1.03E-06,-2.19E-07,-2.07E-06,7.71E-07,-1.51E-07,1.62E-06,5.98E-07,2.32E-07,7.53E-07,-9.24E-07,-9.09E-07,-1.27E-06,4.96E-07,-1.33E-06,6.20E-07,-3.43E-06,-2.56E-06,-9.52E-07,-1.35E-06
,2,-4.74E-07,3.15E-07,1.70E-07,3.06E-07,-9.02E-07,-2.23E-06,4.40E-07,-2.61E-07,2.98E-07,-2.55E-07,1.20E-06,-2.94E-07,1.26E-06,3.47E-06,3.88E-07,-1.86E-06,1.90E-06,-3.11E-07,-9.63E-07,1.41E-06,-8.93E-08,-1.30E-06,9.44E-08,-5.34E-07,-7.59E-07,2.13E-07
,3,-9.26E-07,1.66E-07,-7.42E-07,1.01E-06,-6.07E-07,2.21E-08,5.69E-07,5.10E-07,1.32E-06,-9.33E-07,-6.14E-07,2.91E-07,4.69E-08,-4.60E-07,-1.41E-06,-1.44E-07,2.28E-06,-9.72E-08,3.08E-07,-3.80E-07,1.06E-06,1.30E-06,7.90E-07,6.45E-07,4.18E-07,2.08E-06
Channel 08,1,3.76E-08,-4.03E-07,8.09E-08,-5.09E-07,-9.87E-07,1.88E-07,-4.41E-07,-5.57E-07,1.16E-07,-1.70E-06,6.31E-07,1.54E-08,3.29E-09,-2.31E-07,-7.05E-07,5.76E-07,-1.48E-06,-1.37E-06,-9.67E-07,-5.11E-07,-3.70E-07,-5.38E-07,-2.16E-06,-4.56E-08,-1.42E-06,-1.52E-06
,2,-4.29E-07,1.31E-06,1.37E-07,9.09E-07,-1.04E-06,9.93E-08,3.68E-07,2.36E-07,9.74E-08,-9.36E-07,1.11E-06,-1.21E-09,1.27E-06,3.06E-06,-8.45E-08,-7.89E-07,2.42E-06,3.11E-07,-5.92E-08,1.58E-06,2.66E-07,-1.57E-06,1.85E-06,-1.07E-06,-1.05E-06,3.57E-07
,3,-6.77E-07,-5.64E-06,-1.16E-06,8.50E-07,7.08E-09,5.96E-08,3.19E-08,2.04E-07,1.15E-06,1.88E-07,4.36E-07,-9.24E-08,-1.64E-06,-3.35E-07,-1.35E-06,7.97E-08,1.39E-06,-2.86E-07,-2.70E-07,-7.11E-07,2.39E-07,7.44E-07,1.32E-06,9.75E-08,1.10E-07,1.22E-06
Channel 11,1,-8.78E-07,-1.12E-06,-1.02E-06,1.00E-06,-3.55E-06,-1.24E-06,-6.10E-07,-1.47E-06,1.18E-06,-1.82E-06,1.30E-06,-3.25E-08,3.22E-07,-3.90E-08,8.50E-07,-4.83E-08,-2.93E-06,-9.35E-07,-7.93E-07,2.17E-07,1.40E-07,1.29E-07,-7.91E-07,-1.25E-06,-1.16E-06,-1.68E-06
,2,-1.17E-06,7.18E-07,-1.15E-07,-1.08E-06,-5.76E-06,-5.87E-08,2.84E-07,-8.85E-07,-1.36E-06,-9.14E-07,2.07E-06,-1.44E-06,1.61E-07,2.30E-06,1.14E-07,-2.73E-06,7.43E-07,-7.68E-07,-1.18E-06,2.21E-06,3.11E-08,-2.24E-06,1.15E-06,-2.21E-07,-6.23E-07,9.40E-07
,3,1.07E-07,-1.05E-06,-1.52E-07,6.18E-07,1.01E-06,-4.54E-07,1.02E-06,7.44E-07,2.25E-06,-8.22E-07,-1.82E-06,-2.97E-07,-7.01E-07,-2.11E-07,-1.65E-06,1.22E-06,9.62E-07,-4.49E-07,1.92E-07,-1.02E-06,2.42E-07,7.67E-08,4.59E-07,1.20E-06,7.90E-08,3.10E-06
Channel 12,1,-4.21E-08,-1.66E-06,2.91E-07,-1.02E-06,-2.67E-06,3.72E-07,-2.15E-06,-1.07E-06,-7.70E-07,-2.43E-06,1.83E-06,-4.17E-07,8.43E-07,1.56E-07,-7.59E-07,-1.07E-06,-1.67E-06,-6.92E-07,-6.46E-07,-5.96E-07,-8.58E-07,-3.47E-07,-9.55E-07,-1.85E-06,-1.67E-06,-1.22E-06
,2,3.58E-08,1.72E-08,2.33E-07,-7.48E-07,-2.29E-06,1.26E-06,-6.99E-08,-5.59E-07,-3.47E-07,-2.70E-06,1.68E-06,-1.22E-06,-3.54E-07,4.30E-06,1.84E-08,-2.12E-06,-5.47E-08,-1.15E-06,1.13E-06,4.12E-07,-9.42E-07,4.46E-07,1.47E-06,1.70E-06,-1.04E-06,-1.11E-06
,3,4.34E-07,-2.10E-06,-4.30E-07,-8.47E-07,1.63E-06,-3.57E-07,1.56E-06,6.87E-07,9.59E-07,1.91E-06,-7.28E-07,-7.46E-08,-1.66E-07,2.62E-07,-2.70E-07,1.04E-06,2.70E-06,4.33E-07,2.70E-08,-2.83E-08,1.31E-06,1.14E-06,1.72E-06,-7.02E-07,1.31E-06,1.37E-06
Channel 20,1,3.67E-07,-1.59E-06,6.90E-07,-6.74E-07,-2.47E-06,1.08E-07,-3.92E-07,-7.30E-07,-3.61E-08,-1.25E-06,1.49E-06,3.54E-07,1.51E-06,1.21E-07,3.56E-07,4.11E-08,-5.61E-07,-4.39E-07,-9.40E-07,2.71E-07,-9.57E-07,8.90E-07,-1.49E-06,-4.76E-07,-5.85E-07,-9.70E-07
,2,-5.25E-07,-2.87E-07,9.72E-07,1.20E-06,-1.41E-06,1.53E-08,1.06E-06,1.98E-07,3.22E-07,-2.04E-07,9.14E-07,-1.62E-07,1.02E-07,3.68E-06,-2.12E-08,-1.10E-06,4.86E-07,2.81E-07,-5.43E-07,1.64E-06,6.13E-07,-1.73E-07,1.09E-06,-1.63E-07,-5.33E-08,3.40E-07
,3,5.51E-07,7.94E-08,-3.25E-07,1.95E-06,1.49E-06,-2.54E-07,2.62E-07,2.18E-07,7.73E-07,-3.28E-07,-5.35E-07,-4.67E-07,-1.48E-06,1.15E-08,-4.34E-07,1.71E-07,2.31E-06,-9.47E-07,1.88E-07,-5.87E-07,9.58E-07,1.17E-06,1.11E-06,3.89E-07,1.22E-07,9.58E-07
Channel 24,1,-1.43E-06,2.71E-08,1.99E-06,3.43E-06,2.02E-05,3.60E-08,-2.26E-08,-5.44E-07,-1.58E-06,-2.09E-06,2.52E-06,-9.86E-07,2.47E-06,5.44E-07,8.09E-07,3.59E-07,-1.09E-06,-1.12E-06,-6.41E-07,6.87E-07,-3.22E-06,-1.99E-06,-9.84E-07,-1.93E-06,2.57E-06,-2.46E-06
,2,-1.11E-06,2.14E-07,-1.14E-08,-2.58E-06,5.59E-07,3.01E-06,3.13E-07,-5.46E-07,-2.44E-07,-2.28E-06,1.37E-06,-8.18E-07,-2.93E-07,1.49E-06,-5.91E-07,-3.09E-06,-1.23E-06,-3.22E-06,-8.78E-07,1.39E-06,-2.07E-06,-1.75E-07,6.53E-06,-1.37E-06,-1.19E-06,-1.57E-06
,3,1.28E-06,1.24E-06,9.13E-07,-2.19E-06,-3.17E-06,-8.41E-07,6.71E-07,8.02E-07,4.86E-07,-4.37E-07,-8.62E-07,2.06E-07,-2.01E-06,-9.01E-07,-4.69E-07,2.51E-07,1.50E-06,1.14E-06,1.09E-06,-1.76E-07,4.06E-06,2.64E-06,7.49E-07,2.86E-06,-2.62E-07,8.88E-07
Channel 25,1,-1.96E-07,-1.19E-07,1.29E-06,-3.13E-07,-3.22E-06,1.36E-06,-9.78E-07,-3.22E-07,-3.22E-07,-1.93E-06,1.87E-06,-5.14E-07,5.22E-07,-1.17E-07,-3.75E-07,-8.99E-07,-1.25E-06,3.95E-07,-1.76E-06,6.33E-07,7.01E-07,8.84E-07,-6.37E-07,-2.11E-06,-2.76E-07,-1.10E-06
,2,-1.21E-06,-2.86E-07,1.55E-06,2.26E-06,-2.42E-06,1.28E-06,1.03E-06,2.98E-07,-3.08E-07,-8.74E-07,1.14E-06,-8.11E-07,3.25E-07,3.27E-06,8.81E-07,-1.43E-06,3.03E-07,2.57E-07,1.62E-07,2.94E-06,-3.15E-07,1.54E-06,2.04E-06,1.57E-06,-7.01E-07,1.11E-06
,3,-1.08E-06,1.19E-06,-1.39E-06,1.68E-06,1.45E-06,-1.46E-06,7.07E-07,9.81E-08,1.09E-06,-1.27E-07,-1.51E-06,-9.99E-08,-4.13E-07,5.64E-07,-6.55E-07,5.24E-07,2.31E-06,-2.50E-07,2.14E-06,-1.18E-06,1.13E-06,4.43E-07,2.11E-06,-1.54E-06,1.94E-06,1.02E-06