,0,1,2,3,4,5,6,7,8
0,-6.19e-08,-9.15e-07,4.97e-08,3.76e-08,-8.78e-07,-4.21e-08,3.67e-07,-1.43e-06,-1.96e-07
1,-3.3e-06,-1.94e-07,-4.74e-07,-4.29e-07,-1.17e-06,3.58e-08,-5.25e-07,-1.11e-06,-1.21e-06
2,-4.42e-07,-4.45e-07,-9.26e-07,-6.77e-07,1.07e-07,4.34e-07,5.51e-07,1.28e-06,-1.08e-06
0,-1.99e-07,-1.17e-06,-6.69e-07,-4.03e-07,-1.12e-06,-1.66e-06,-1.59e-06,2.71e-08,-1.19e-07
1,-3.02e-07,6.48e-07,3.15e-07,1.31e-06,7.18e-07,1.72e-08,-2.87e-07,2.14e-07,-2.86e-07
2,-6.91e-07,-6.75e-08,1.66e-07,-5.64e-06,-1.05e-06,-2.1e-06,7.94e-08,1.24e-06,1.19e-06
0,2.11e-06,-5.76e-07,4.88e-07,8.09e-08,-1.02e-06,2.91e-07,6.9e-07,1.99e-06,1.29e-06
1,-3.86e-07,8.97e-08,1.7e-07,1.37e-07,-1.15e-07,2.33e-07,9.72e-07,-1.14e-08,1.55e-06
2,2.06e-06,3.36e-08,-7.42e-07,-1.16e-06,-1.52e-07,-4.3e-07,-3.25e-07,9.13e-07,-1.39e-06
0,-1.17e-06,2.12e-06,5.02e-07,-5.09e-07,1e-06,-1.02e-06,-6.74e-07,3.43e-06,-3.13e-07
1,-2.25e-06,1.12e-06,3.06e-07,9.09e-07,-1.08e-06,-7.48e-07,1.2e-06,-2.58e-06,2.26e-06
2,-9.53e-07,2.51e-07,1.01e-06,8.5e-07,6.18e-07,-8.47e-07,1.95e-06,-2.19e-06,1.68e-06
0,1.86e-05,-2.3e-07,-9.03e-07,-9.87e-07,-3.55e-06,-2.67e-06,-2.47e-06,2.02e-05,-3.22e-06
1,-2.33e-06,-6.21e-07,-9.02e-07,-1.04e-06,-5.76e-06,-2.29e-06,-1.41e-06,5.59e-07,-2.42e-06
2,-4.34e-07,-8.12e-07,-6.07e-07,7.08e-09,1.01e-06,1.63e-06,1.49e-06,-3.17e-06,1.45e-06
0,-6.65e-07,-1.03e-06,-1.39e-06,1.88e-07,-1.24e-06,3.72e-07,1.08e-07,3.6e-08,1.36e-06
1,3.59e-07,1.44e-06,-2.23e-06,9.93e-08,-5.87e-08,1.26e-06,1.53e-08,3.01e-06,1.28e-06
2,-7.46e-08,4.34e-07,2.21e-08,5.96e-08,-4.54e-07,-3.57e-07,-2.54e-07,-8.41e-07,-1.46e-06
0,6.41e-07,-2.36e-07,-8.32e-07,-4.41e-07,-6.1e-07,-2.15e-06,-3.92e-07,-2.26e-08,-9.78e-07
1,-2.75e-07,-2.85e-07,4.4e-07,3.68e-07,2.84e-07,-6.99e-08,1.06e-06,3.13e-07,1.03e-06
2,-1.1e-07,1.38e-06,5.69e-07,3.19e-08,1.02e-06,1.56e-06,2.62e-07,6.71e-07,7.07e-07
0,-8.25e-07,-1.55e-06,-1.03e-06,-5.57e-07,-1.47e-06,-1.07e-06,-7.3e-07,-5.44e-07,-3.22e-07
1,-3.53e-07,4.24e-08,-2.61e-07,2.36e-07,-8.85e-07,-5.59e-07,1.98e-07,-5.46e-07,2.98e-07
2,-4.96e-07,4.85e-07,5.1e-07,2.04e-07,7.44e-07,6.87e-07,2.18e-07,8.02e-07,9.81e-08
0,-2.39e-06,3.61e-06,-2.19e-07,1.16e-07,1.18e-06,-7.7e-07,-3.61e-08,-1.58e-06,-3.22e-07
1,6.44e-08,-1.5e-06,2.98e-07,9.74e-08,-1.36e-06,-3.47e-07,3.22e-07,-2.44e-07,-3.08e-07
2,1.63e-06,2.54e-06,1.32e-06,1.15e-06,2.25e-06,9.59e-07,7.73e-07,4.86e-07,1.09e-06
0,-1.12e-06,-9.43e-07,-2.07e-06,-1.7e-06,-1.82e-06,-2.43e-06,-1.25e-06,-2.09e-06,-1.93e-06
1,-1.31e-06,4.2e-07,-2.55e-07,-9.36e-07,-9.14e-07,-2.7e-06,-2.04e-07,-2.28e-06,-8.74e-07
2,6.04e-06,-3.15e-06,-9.33e-07,1.88e-07,-8.22e-07,1.91e-06,-3.28e-07,-4.37e-07,-1.27e-07
0,2.77e-06,1.29e-06,7.71e-07,6.31e-07,1.3e-06,1.83e-06,1.49e-06,2.52e-06,1.87e-06
1,9.27e-07,1.95e-06,1.2e-06,1.11e-06,2.07e-06,1.68e-06,9.14e-07,1.37e-06,1.14e-06
2,-1e-07,-1.19e-06,-6.14e-07,4.36e-07,-1.82e-06,-7.28e-07,-5.35e-07,-8.62e-07,-1.51e-06
0,-1.25e-06,-2.14e-07,-1.51e-07,1.54e-08,-3.25e-08,-4.17e-07,3.54e-07,-9.86e-07,-5.14e-07
1,-1.73e-06,-8.46e-07,-2.94e-07,-1.21e-09,-1.44e-06,-1.22e-06,-1.62e-07,-8.18e-07,-8.11e-07
2,1.91e-06,5.52e-07,2.91e-07,-9.24e-08,-2.97e-07,-7.46e-08,-4.67e-07,2.06e-07,-9.99e-08
0,3.49e-06,-8.53e-07,1.62e-06,3.29e-09,3.22e-07,8.43e-07,1.51e-06,2.47e-06,5.22e-07
1,-8.92e-07,-2.28e-06,1.26e-06,1.27e-06,1.61e-07,-3.54e-07,1.02e-07,-2.93e-07,3.25e-07
2,-2e-06,2.62e-07,4.69e-08,-1.64e-06,-7.01e-07,-1.66e-07,-1.48e-06,-2.01e-06,-4.13e-07
0,3.74e-07,4.69e-07,5.98e-07,-2.31e-07,-3.9e-08,1.56e-07,1.21e-07,5.44e-07,-1.17e-07
1,1.23e-06,2.04e-06,3.47e-06,3.06e-06,2.3e-06,4.3e-06,3.68e-06,1.49e-06,3.27e-06
2,-1.53e-07,-4.52e-07,-4.6e-07,-3.35e-07,-2.11e-07,2.62e-07,1.15e-08,-9.01e-07,5.64e-07
0,8.64e-08,1.01e-06,2.32e-07,-7.05e-07,8.5e-07,-7.59e-07,3.56e-07,8.09e-07,-3.75e-07
1,-4.52e-07,4.84e-07,3.88e-07,-8.45e-08,1.14e-07,1.84e-08,-2.12e-08,-5.91e-07,8.81e-07
2,-3.57e-07,-2.42e-06,-1.41e-06,-1.35e-06,-1.65e-06,-2.7e-07,-4.34e-07,-4.69e-07,-6.55e-07
0,-7.5e-07,3.34e-07,7.53e-07,5.76e-07,-4.83e-08,-1.07e-06,4.11e-08,3.59e-07,-8.99e-07
1,-5.31e-06,-2.79e-06,-1.86e-06,-7.89e-07,-2.73e-06,-2.12e-06,-1.1e-06,-3.09e-06,-1.43e-06
2,9.53e-07,1.25e-06,-1.44e-07,7.97e-08,1.22e-06,1.04e-06,1.71e-07,2.51e-07,5.24e-07
0,-1.42e-07,-1.85e-06,-9.24e-07,-1.48e-06,-2.93e-06,-1.67e-06,-5.61e-07,-1.09e-06,-1.25e-06
1,4.25e-07,2.22e-06,1.9e-06,2.42e-06,7.43e-07,-5.47e-08,4.86e-07,-1.23e-06,3.03e-07
2,9.23e-07,4.27e-07,2.28e-06,1.39e-06,9.62e-07,2.7e-06,2.31e-06,1.5e-06,2.31e-06
0,-3.65e-07,-1.25e-07,-9.09e-07,-1.37e-06,-9.35e-07,-6.92e-07,-4.39e-07,-1.12e-06,3.95e-07
1,-2.92e-06,-1.6e-07,-3.11e-07,3.11e-07,-7.68e-07,-1.15e-06,2.81e-07,-3.22e-06,2.57e-07
2,-1.57e-06,-4.62e-07,-9.72e-08,-2.86e-07,-4.49e-07,4.33e-07,-9.47e-07,1.14e-06,-2.5e-07
0,-1.92e-06,-1.19e-06,-1.27e-06,-9.67e-07,-7.93e-07,-6.46e-07,-9.4e-07,-6.41e-07,-1.76e-06
1,-5.55e-07,-1.23e-06,-9.63e-07,-5.92e-08,-1.18e-06,1.13e-06,-5.43e-07,-8.78e-07,1.62e-07
2,3.71e-06,4.53e-08,3.08e-07,-2.7e-07,1.92e-07,2.7e-08,1.88e-07,1.09e-06,2.14e-06
0,1.13e-07,1.04e-07,4.96e-07,-5.11e-07,2.17e-07,-5.96e-07,2.71e-07,6.87e-07,6.33e-07
1,-1.49e-06,1.58e-06,1.41e-06,1.58e-06,2.21e-06,4.12e-07,1.64e-06,1.39e-06,2.94e-06
2,-5.27e-07,-6.44e-07,-3.8e-07,-7.11e-07,-1.02e-06,-2.83e-08,-5.87e-07,-1.76e-07,-1.18e-06
0,1.17e-06,-9.13e-07,-1.33e-06,-3.7e-07,1.4e-07,-8.58e-07,-9.57e-07,-3.22e-06,7.01e-07
1,-3.84e-06,1.78e-07,-8.93e-08,2.66e-07,3.11e-08,-9.42e-07,6.13e-07,-2.07e-06,-3.15e-07
2,3.38e-06,1.18e-06,1.06e-06,2.39e-07,2.42e-07,1.31e-06,9.58e-07,4.06e-06,1.13e-06
0,-3.32e-06,4.81e-07,6.2e-07,-5.38e-07,1.29e-07,-3.47e-07,8.9e-07,-1.99e-06,8.84e-07
1,-8.29e-08,-1.41e-06,-1.3e-06,-1.57e-06,-2.24e-06,4.46e-07,-1.73e-07,-1.75e-07,1.54e-06
2,3.09e-06,3.68e-07,1.3e-06,7.44e-07,7.67e-08,1.14e-06,1.17e-06,2.64e-06,4.43e-07
0,-2.47e-06,-3.87e-07,-3.43e-06,-2.16e-06,-7.91e-07,-9.55e-07,-1.49e-06,-9.84e-07,-6.37e-07
1,-2.27e-06,4.5e-07,9.44e-08,1.85e-06,1.15e-06,1.47e-06,1.09e-06,6.53e-06,2.04e-06
2,9.3e-07,-3.5e-07,7.9e-07,1.32e-06,4.59e-07,1.72e-06,1.11e-06,7.49e-07,2.11e-06
0,-2.58e-06,-9.55e-07,-2.56e-06,-4.56e-08,-1.25e-06,-1.85e-06,-4.76e-07,-1.93e-06,-2.11e-06
1,-1.79e-06,-1.14e-06,-5.34e-07,-1.07e-06,-2.21e-07,1.7e-06,-1.63e-07,-1.37e-06,1.57e-06
2,7.69e-07,6.56e-07,6.45e-07,9.75e-08,1.2e-06,-7.02e-07,3.89e-07,2.86e-06,-1.54e-06
0,1.89e-06,-3.74e-07,-9.52e-07,-1.42e-06,-1.16e-06,-1.67e-06,-5.85e-07,2.57e-06,-2.76e-07
1,-1.6e-06,1.54e-07,-7.59e-07,-1.05e-06,-6.23e-07,-1.04e-06,-5.33e-08,-1.19e-06,-7.01e-07
2,-6.44e-08,1.1e-06,4.18e-07,1.1e-07,7.9e-08,1.31e-06,1.22e-07,-2.62e-07,1.94e-06
0,-5.87e-07,-9e-07,-1.35e-06,-1.52e-06,-1.68e-06,-1.22e-06,-9.7e-07,-2.46e-06,-1.1e-06
1,-9.93e-07,2.24e-06,2.13e-07,3.57e-07,9.4e-07,-1.11e-06,3.4e-07,-1.57e-06,1.11e-06
2,1.91e-06,3.07e-06,2.08e-06,1.22e-06,3.1e-06,1.37e-06,9.58e-07,8.88e-07,1.02e-06
